Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,5,Satisfactory,19.0642656,72.9199313,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642656,72.9199313,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,28.5676621,77.2897046,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.6378162,77.2392579,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6405895,77.2294546,NCT
Airtel,Indoor,Unknown,5,Satisfactory,28.562699,77.2863083,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.567667,77.2896828,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5676583,77.2896753,Uttar Pradesh
Airtel,Indoor,4G,2,Poor Voice Quality,28.5676682,77.2896747,Uttar Pradesh
Airtel,Indoor,3G,1,Call Dropped,28.5676823,77.2896952,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,11.2576259,77.2262804,Tamil Nadu
RJio,Outdoor,4G,5,Satisfactory,19.063326,72.91882298,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06341138,72.91874355,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06341138,72.91874355,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06341138,72.91874355,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06348576,72.91893632,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06327661,72.91885642,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,28.5677193,77.2896741,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,19.0642656,72.9199313,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,19.0642656,72.9199313,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,11.2392179,77.20746466,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.23912249,77.20833137,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.14584489,77.31631743,Tamil Nadu
BSNL,Outdoor,Unknown,4,Satisfactory,11.19953802,77.26472025,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
BSNL,Outdoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,19.0642656,72.9199313,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,19.06310818,72.91892087,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.0642608,72.9199295,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,19.04883746,72.86416126,Maharashtra
RJio,Travelling,4G,3,Poor Voice Quality,19.0498757,72.84936395,Maharashtra
RJio,Travelling,4G,3,Poor Voice Quality,19.0498757,72.84936395,Maharashtra
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,28.5677333,77.2896511,Uttar Pradesh
Airtel,Travelling,4G,5,Satisfactory,28.5676964,77.2896961,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5676879,77.2896841,Uttar Pradesh
Airtel,Outdoor,Unknown,1,Poor Voice Quality,28.5628011,77.2873856,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5676603,77.289609,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5654473,77.2888219,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,28.6463781,77.2238098,NCT
Airtel,Outdoor,Unknown,5,Satisfactory,28.6456613,77.2238098,NCT
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.567676,77.289683,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Call Dropped,19.0642656,72.9199313,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,19.0642656,72.9199313,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,28.5676684,77.289675,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5685727,77.2877447,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5685727,77.2877447,Uttar Pradesh
RJio,Outdoor,4G,3,Poor Voice Quality,19.06735178,72.92090171,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,19.0642656,72.9199313,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,28.5676631,77.289705,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,11.2116171,77.1927618,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2116171,77.1927618,Tamil Nadu
RJio,Indoor,4G,3,Poor Voice Quality,19.06423573,72.9199746,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.2116171,77.1927618,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,25.59519687,85.22139,Bihar
Airtel,Indoor,4G,2,Poor Voice Quality,25.59510815,85.22142864,Bihar
Airtel,Indoor,4G,1,Poor Voice Quality,19.0915589,72.8981798,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,19.0642656,72.9199313,Maharashtra
RJio,Indoor,4G,2,Call Dropped,19.06432808,72.91987765,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0642656,72.9199313,Maharashtra
Airtel,Indoor,4G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,4G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,4G,1,Poor Voice Quality,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
RJio,Indoor,4G,2,Call Dropped,19.0642507,72.91993435,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0642507,72.91993435,Maharashtra
Airtel,Indoor,4G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.06483423,72.89945657,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.2351832,77.1993761,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,25.4182691,83.66552261,Uttar Pradesh
Airtel,Outdoor,4G,5,Satisfactory,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,2,Call Dropped,25.4182691,83.66552261,Uttar Pradesh
Airtel,Outdoor,4G,1,Poor Voice Quality,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,1,Call Dropped,19.09152471,72.89820115,Maharashtra
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
Airtel,Travelling,4G,5,Satisfactory,19.09022897,72.89903578,Maharashtra
Airtel,Travelling,4G,5,Satisfactory,19.08668744,72.89809238,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,28.5696056,77.2825378,Uttar Pradesh
Airtel,Indoor,4G,2,Call Dropped,28.569585,77.2825903,Uttar Pradesh
Airtel,Outdoor,4G,2,Call Dropped,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,1,Call Dropped,28.6404136,77.2295351,NCT
Airtel,Indoor,4G,1,Call Dropped,28.6408768,77.2292587,NCT
Airtel,Indoor,4G,2,Call Dropped,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,3,Call Dropped,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,25.4182691,83.66552261,Uttar Pradesh
Airtel,Indoor,4G,4,Satisfactory,25.4182691,83.66552261,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,28.64038167,77.22925,NCT
RJio,Outdoor,4G,2,Call Dropped,28.64038167,77.22925,NCT
RJio,Indoor,4G,3,Call Dropped,28.64038167,77.22925,NCT
RJio,Indoor,4G,4,Satisfactory,28.64047833,77.22920833,NCT
RJio,Indoor,4G,5,Satisfactory,28.64077333,77.22910333,NCT
RJio,Indoor,4G,5,Satisfactory,28.64109333,77.22926833,NCT
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,5,Satisfactory,28.64282167,77.221555,NCT
RJio,Indoor,4G,2,Call Dropped,28.64282167,77.221555,NCT
Airtel,Travelling,4G,2,Call Dropped,28.640869,77.2293033,NCT
Airtel,Indoor,4G,3,Call Dropped,28.6407535,77.2292958,NCT
Airtel,Indoor,4G,4,Satisfactory,28.6407177,77.2293145,NCT
Airtel,Indoor,4G,4,Satisfactory,28.6407177,77.2293145,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6408008,77.2293292,NCT
RJio,Indoor,4G,1,Poor Voice Quality,28.64282167,77.221555,NCT
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,3,Call Dropped,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,28.6456613,77.2238098,NCT
Airtel,Indoor,3G,1,Poor Voice Quality,28.642199,77.2288396,NCT
RJio,Indoor,4G,3,Poor Voice Quality,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.06427449,72.91989507,Maharashtra
Airtel,Travelling,4G,4,Satisfactory,28.640472,77.2296179,NCT
Airtel,Indoor,4G,3,Satisfactory,28.6404378,77.2295863,NCT
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,3G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,19.0642716,72.9199199,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,28.6404284,77.2296008,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6404284,77.2296008,NCT
RJio,Indoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
Airtel,Indoor,3G,5,Satisfactory,28.6456613,77.2238098,NCT
Airtel,Indoor,4G,5,Satisfactory,28.5475589,77.2620453,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5656359,77.2870265,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5663531,77.2870265,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5676579,77.2896099,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,19.0642725,72.9199203,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0642484,72.91988442,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,28.63837506,77.22921414,NCT
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,28.6408429,77.2293052,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6404741,77.1048618,NCT
RJio,Outdoor,4G,3,Poor Voice Quality,19.06331836,72.91886715,Maharashtra
RJio,Outdoor,4G,2,Poor Voice Quality,19.06340665,72.91870648,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,28.5654133,77.2884628,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5655834,77.2902582,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5767987,77.2988758,Uttar Pradesh
Airtel,Indoor,3G,1,Poor Voice Quality,28.6408478,77.2292963,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6406469,77.2294017,NCT
Airtel,Indoor,3G,5,Satisfactory,28.5677037,77.2897045,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,19.03425399,72.8593561,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.03425399,72.8593561,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,28.5677086,77.2896886,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,19.05856626,72.88380673,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,19.05856626,72.88380673,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.2578129,77.2261532,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2428638,77.2007405,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2428638,77.2007405,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,19.06421793,72.91999391,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.06425627,72.91991664,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,28.56150697,77.26822465,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.56150697,77.26822465,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,11.2428638,77.2007405,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.05606115,72.91514274,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2464995,77.2355449,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.23942737,77.20776225,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.06185797,72.91907889,Maharashtra
RJio,Travelling,4G,4,Satisfactory,19.05948238,72.92390599,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.07565055,72.99754982,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.247849,77.2316596,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,19.06427766,72.92000557,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.06433694,72.9200145,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.06441783,72.91994933,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642683,72.9199302,Maharashtra
